[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ route_check ] --START--
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ app_begin ] --START--
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.001000s ]
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` LIMIT 1   [ RunTime:0.000000s ]
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | SQL: SELECT `id`,`subject`,`author`,`createtime` FROM `think_article` ORDER BY id desc LIMIT 0,8   [ RunTime:0.000000s ]
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8] A non well formed numeric value encountered IndexAction.class.php 第 109 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 112 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8] A non well formed numeric value encountered IndexAction.class.php 第 109 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 112 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8] A non well formed numeric value encountered IndexAction.class.php 第 109 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 112 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_template ] --START--
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | INFO: Tag[ view_parse ] --START--
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T14:32:02+08:00 ] /xxx/admin.php/Index/index/username/ruby97 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
